Abbreviation,Time zone name,Location,Offset,
A,Alpha Time Zone,Military,UTC +1,
ACDT,Australian Central Daylight Time,Australia,UTC +10:30,
ACST,Australian Central Standard Time,Australia,UTC +9:30,
ACT,Acre Time,South America,UTC -5,
ACT,Australian Central Time,Australia,UTC +9:30,
ACWST,Australian Central Western Standard Time,Australia,UTC +8:45,
ADT,Arabia Daylight Time,Asia,UTC +4,
ADT,Atlantic Daylight Time,North America,UTC -3,
AEDT,Australian Eastern Daylight Time,Australia,UTC +11,
AEST,Australian Eastern Standard Time,Australia,UTC +10,
AET,Australian Eastern Time,Australia,UTC +10:00,
AFT,Afghanistan Time,Asia,UTC +4:30,
AKDT,Alaska Daylight Time,North America,UTC -8,
AKST,Alaska Standard Time,North America,UTC -9,
ALMT,Alma-Ata Time,Asia,UTC +6,
AMST,Amazon Summer Time,South America,UTC -3,
AMST,Armenia Summer Time,Asia,UTC +5,
AMT,Amazon Time,South America,UTC -4,
AMT,Armenia Time,Asia,UTC +4,
ANAST,Anadyr Summer Time,Asia,UTC +12,
ANAT,Anadyr Time,Asia,UTC +12,
AQTT,Aqtobe Time,Asia,UTC +5,
ART,Argentina Time,Antarctica,UTC -3,
AST,Arabia Standard Time,Asia,UTC +3,
AST,Atlantic Standard Time,North America,UTC -4,
AT,Atlantic Time,North America,UTC -4:00,
AWDT,Australian Western Daylight Time,Australia,UTC +9,
AWST,Australian Western Standard Time,Australia,UTC +8,
AZOST,Azores Summer Time,Atlantic,UTC +0,
AZOT,Azores Time,Atlantic,UTC -1,
AZST,Azerbaijan Summer Time,Asia,UTC +5,
AZT,Azerbaijan Time,Asia,UTC +4,
AoE,Anywhere on Earth,Pacific,UTC -12,
B,Bravo Time Zone,Military,UTC +2,
BNT,Brunei Darussalam Time,Asia,UTC +8,
BOT,Bolivia Time,South America,UTC -4,
BRST,Brasília Summer Time,South America,UTC -2,
BRT,Brasília Time,South America,UTC -3,
BST,Bangladesh Standard Time,Asia,UTC +6,
BST,Bougainville Standard Time,Pacific,UTC +11,
BST,British Summer Time,Europe,UTC +1,
